id,author
0,Humphrey Crouch
1,Edward Mayhew
2,Edward A. Rand
3,L. Frank Baum
4,Peter Rosegger
5,Woodbine Parish
6,Fougasse
7,Eulalie Osgood Grover
8,Katherine Pyle
9,Stanley R. Matthews
10,Various
11,James E. Talmage
12,Samuel Leopold Schenk
13,William Anderson
14,E. A. Hermann
15,Joseph Smith
16,Grenville Kleiser
17,Frank Frankfort Moore
18,Lyof N. Tolstoi
19,Eden Phillpotts
20,Caroline Gilman
21,Chas. G Mutzenberg
22,Dorothy Scarborough
23,Richard Valpy French
24,John Tyndall
25,Tom Gallon
26,S. M. Dubnow
27,Walter Phelps Dodge
28,Sir Monier Monier-Williams
29,J. H. Philpot
30,Albert C. Manucy
31,Frank Barnes
32,Judith Gautier Pierre Loti
33,Samuel J. Tilden
34,Ernst Eckstein
35,Henry W. Shoemaker
36,George Meredith
37,Ralph Henry Barbour
38,Samuel Swett
39,Francis Parkman
40,Samuel Stearns
41,Henry Lee
42,John Addington Symonds
43,Ann S. Stephens
44,H. B. (Hereford Brooke) George
45,Pierre Denis
46,John W. Dafoe
47,H. N. (Henry N.) Minnigh
48,Lillian Elizabeth Roy
49,Dora Russell
50,Katharine Pyle
51,Anonymous
52,Ruby Lorraine Radford
53,R. W. Campbell
54,Lemuel Abijah Abbott
55,Matthias F. Cowley
56,Edith S. Clements
57,Kaye M. Shedlock Louis Pakiser
58,Ernest Vincent Wright
59,John Wesley Dafoe
60,Norman Gale
61,Herbert Beeman
62,Le Voleur
63,E. J. Rath
64,Lloyd Osbourne
65,William Edwin Pratt
66,Marion St John Webb
67,Arthur Conan Doyle
68,William Shakespeare
69,Heber C. Kimball
70,Arthur M. Winfield
71,John W. Graham
72,Sir Joshua Reynolds
73,Capwell Wyckoff
74,W. T. Fyfe
75,Stanley P. Young
76,Marion Ames Taggart
77,J. A. Filcher Frank Wiggins
78,Halliwell Sutcliffe
79,Eliza R. Snow Smith
80,B. H. Roberts
81,Rossiter Johnson
82,Robert R. (Robert Rice) Reynolds
83,Charles Oman
84,Edward Bindon Marten
85,Jerome K. Jerome
86,John Henry Goldfrap
87,Sumner Upham Shearman
88,Seymour D. (Seymour Dwight) Thompson
89,G. J. Whyte-Melville
90,Robert Graves
91,Sabine Baring-Gould
92,Izola L. Forrester
93,A. D. Lindsay
94,Sir William Francis Butler
95,George Gibbs
96,Dmitry Sergeyevich Merezhkovsky
97,Aldous Huxley
98,Louis N. Parker
99,George M  Baker
100,Francesca Alexander
101,Harold Bindloss
102,George Brewer
103,A. E. Taylor
104,P. J. Van Beneden
105,M. E. (Mary Elizabeth) Braddon
106,Author of "Old Broadbrim"
107,Neal O. Hines
108,Albert Bigelow Paine
109,Hedley Peek
110,Gelett Burgess
111,Margaret T. Van Epps
112,John Reed
113,Willard F. Baker
114,H. J. Crumpton and Washington Bryan Crumpton
115,Bess Moyer
116,S. Baring-Gould
117,Ernest Ingersoll
118,William Heilbron
119,Grant Foreman Carolyn Thomas Foreman
120,Charles Keene, Various
121,Herbert Carter
122,Johanna Spyri
123,Mary Johnston
124,Frances Eastwood
125,Louis Couperus
126,J. H. Ward
127,James A. Little
128,R. B. Cunninghame Graham
129,Abbie Johnston Grosvenor
130,Ethel Turner
131,Rupert Brooke
132,Richard Bagwell
133,Martha Morton
134,James Otis
135,Geoffrey Bache Smith
136,Margaret Rebecca Piper
137,John Adams
138,Robert Shaler
139,Ernest Oldmeadow
140,Leslie A. Davis
141,George Santayana
142,Sydney Herman Preston
143,Moses Swan
144,Henry R. Schoolcraft
145,Robert W. Buchanan
146,Jack London
147,William A. Morton
148,W. W. (William Wallace) Denslow and Dudley A Bragdon
149,James H. Wood
150,Ella S. Armitage
151,Charles M. Sheldon
152,Blackie & Son
153,Frank Norris
154,David Graham Phillips
155,Max McConn
156,Anthony Hope
157,Ada Woodruff Anderson
158,Sophie May
159,Gorden Bates
160,Anthon L. Skanchy
161,Wilhelm Raabe Michael Wooff
162,Paul G. Redington Stanley P. Young
163,Bernard C. Nalty
164,Wilhelm Raabe
165,Eugene Field Clement Clarke Moore
166,Edward Gibbon
167,Julian, Emperor of Rome
168,Michael Hart
169,F. Brett Young
170,D. McCall
171,George M Baker
172,Edwin A. Abbott
173,Matthew M. Colton
174,Einhard and Notker Balbulus
175,Don Caspar Gilli Saint Francis Of Sales
176,Solomon Schechter
177,Alice MacGowan
178,Finley Melville Kendall Foster
179,Joseph Jacobs
180,Eleanor Hallowell Abbott
181,William J. Irons
182,Ethelbert William Bullinger
183,Henry St. John Cooper
184,J. Watt Gibson
185,Christine Jope Slade
186,Jane D. Abbott
187,J. Walker McSpadden
188,Edward S. Ellis
189,George M. Baker
190,Arthur Ransome
191,Jeffery Farnol
192,W. P. Shervill
193,May Wynne
194,S. R. Crockett
195,Father Ignatius
196,C. A. Coey
197,Thomas Moore
198,Lycurgus A. Wilson
199,Harriet T. Comstock
200,O. F. Whitney Kennon Thomas A. Shreeve Ben E. Rich
201,Robert Vansittart
